id,name,faction,type,zone,value,attack,defense,description,ability
1,Capitán O'Reilly,police,leader,fighter,8,3,7,"Veterano endurecido, lidera con firmeza y no duda en ensuciarse las manos.","'Redada': -1 ATK a todos los LUCHADORES enemigos este turno."
2,Agentes de patrulla,police,character,fighter,2,2,3,"Dos sombras azules recorren los callejones oscuros, buscando respuestas entre la lluvia y el humo. El brillo de sus linternas es la única certeza en la noche.",
3,Sargento con escopeta,police,character,gunslinger,3,3,2,"Un guardián implacable de la ley, endurecido por años de patrullas en las calles más oscuras de Chicago. No retrocede ante la lluvia ni ante el delito; su sola presencia bajo la farola es una advertencia.",
4,Detective de turno,police,character,talker,3,2,4,"Un hombre endurecido por la ciudad, con paciencia corta y puños más duros que el asfalto. Cuando su voz no basta, la mesa tiembla.",
5,Guardia antidisturbios,police,character,fighter,4,3,5,"Si es destruido, evita el siguiente ataque directo al jugador.",
6,Francotirador del tejado,police,character,gunslinger,3,4,1,"Un ojo fijo tras la mira en la lluvia. Acompañado solo por su paciencia, esperando el disparo perfecto.",
7,Sirenas en la noche,police,effect,,3,0,0,"Cancela la acción de un enemigo este turno.",
8,Prisión preventiva,police,effect,,2,0,0,"Devuelve una carta enemiga a la mano.",
9,Sobrecarga de trabajo,police,effect,,2,0,0,"El rival descarta una carta al azar.",
10,Protección del Estado,police,effect,,4,0,0,"Recupera 2 de Reputación.",
11,Luz de patrulla,police,effect,,5,0,0,"Impide que cualquier Ladrón use habilidades este turno.",
12,Unidad canina,police,character,fighter,2,3,3,"Un dúo inseparable, el oficial y su fiel compañero canino, patrullan las calles con un instinto agudo y una lealtad inquebrantable.",
13,Barricadas improvisadas,police,environment,environment,4,0,0,"Todos los LUCHADORES aliados ganan +1 DEF mientras esta carta esté activa.",
14,Pedir refuerzos,police,effect,,4,0,0,"Roba 2 cartas.",
15,Control de multitudes,police,effect,,3,0,0,"El rival no puede atacar este turno.",
16,Don Vito,mafia,leader,talker,9,2,8,"El patriarca de la familia, cuya palabra es ley y cuyo poder se extiende en las sombras de la ciudad.","Negociación: Gana 1 Reputación cada vez que un aliado es destruido."
17,Matones a sueldo,mafia,character,fighter,2,3,2,"Tres figuras sombrías emergen de la niebla, sus miradas frías y calculadoras. En sus manos, la promesa de caos y control.",
18,Pistolero de la familia,mafia,character,gunslinger,3,4,2,"Un hombre con un pasado oscuro y una mira certera, siempre listo para defender el honor de la familia con un disparo rápido.",
